ID;Semester;HZBNote;Art
631;4018;4;allgemeine Hochschulreife
1742;4018;;allgemeine Hochschulreife
1757;4018;2;allgemeine Hochschulreife
2629;4019;2;allgemeine Hochschulreife
950;4019;2;allgemeine Hochschulreife
806;4019;3;allgemeine Hochschulreife
1876;4026;2;allgemeine Hochschulreife
1694;4019;2;allgemeine Hochschulreife
72;4019;2;allgemeine Hochschulreife
760;4018;4;allgemeine Hochschulreife
2699;4017;2;allgemeine Hochschulreife
478;4017;3;allgemeine Hochschulreife
2099;4017;3;allgemeine Hochschulreife
958;4017;3;allgemeine Hochschulreife
1218;4017;2;allgemeine Hochschulreife
2450;4017;2;allgemeine Hochschulreife
1025;4017;3;allgemeine Hochschulreife
667;4017;3;allgemeine Hochschulreife
346;4017;3;allgemeine Hochschulreife
1549;4017;;allgemeine Hochschulreife
574;4018;3;allgemeine Hochschulreife
2732;4018;3;allgemeine Hochschulreife
2245;4018;2;allgemeine Hochschulreife
1682;4018;2;allgemeine Hochschulreife
226;4018;3;allgemeine Hochschulreife
50;4018;;allgemeine Hochschulreife
2050;4019;1;allgemeine Hochschulreife
1706;4019;2;allgemeine Hochschulreife
744;4019;3;allgemeine Hochschulreife
1861;4020;3;allgemeine Hochschulreife
62;4020;2;allgemeine Hochschulreife
1926;4019;2;allgemeine Hochschulreife
2420;4019;2;allgemeine Hochschulreife
2198;4020;3;allgemeine Hochschulreife
937;4020;3;allgemeine Hochschulreife
2702;4020;2;allgemeine Hochschulreife
1628;4020;3;allgemeine Hochschulreife
2170;4021;3;allgemeine Hochschulreife
1135;4021;2;allgemeine Hochschulreife
256;4022;3;allgemeine Hochschulreife
879;4022;3;allgemeine Hochschulreife
467;4023;2;allgemeine Hochschulreife
18;4023;2;allgemeine Hochschulreife
2260;4031;2;allgemeine Hochschulreife
784;4031;2;allgemeine Hochschulreife
398;4031;3;allgemeine Hochschulreife
1102;4031;3;allgemeine Hochschulreife
290;4031;2;allgemeine Hochschulreife
1590;4031;2;allgemeine Hochschulreife
533;4031;3;allgemeine Hochschulreife
2259;4031;2;allgemeine Hochschulreife
1239;4012;4;allgemeine Hochschulreife
2309;4011;2;allgemeine Hochschulreife
695;4011;2;allgemeine Hochschulreife
1514;4011;3;allgemeine Hochschulreife
25;4012;3;allgemeine Hochschulreife
854;4012;3;allgemeine Hochschulreife
1784;4012;2;allgemeine Hochschulreife
60;4012;2;allgemeine Hochschulreife
2673;4011;2;allgemeine Hochschulreife
2558;4035;3;allgemeine Hochschulreife
1096;4011;3;allgemeine Hochschulreife
33;4011;3;allgemeine Hochschulreife
