ID;Unit;Semester;Note;BNF
7;143044;4030;belegt;E
7;143044;4030;m.E.;E
7;143070;4030;NT;5
7;143070;4030;1,7;5
7;143071;4030;belegt;E
7;143071;4030;m.E.;E
7;143085;4030;belegt;E
7;143085;4030;m.E.;E
7;143087;4030;belegt;E
7;143087;4030;m.E.;E
7;143088;4030;m.E.;E
7;143019;4031;NT;5
7;143019;4031;1,3;5
7;143020;4031;NT;5
7;143020;4031;2,3;5
7;143025;4031;NT;5
7;143025;4031;1,3;5
7;143050;4031;belegt;E
7;143050;4031;m.E.;E
7;143051;4031;belegt;E
7;143051;4031;m.E.;E
7;143068;4031;3,3;5
7;143068;4031;NT;5
7;143069;4031;belegt;E
7;143069;4031;m.E.;E
7;143076;4031;belegt;E
7;143076;4031;m.E.;E
7;143077;4031;1,3;5
7;143077;4031;NT;5
7;143084;4031;belegt;E
7;143084;4031;m.E.;E
7;143105;4031;1,3;5
7;143106;4031;m.E.;E
7;143023;4032;NT;5
7;143023;4032;1,3;5
7;143027;4032;NT;5
7;143027;4032;1,7;5
7;143074;4032;1,3;5
7;143074;4032;NT;5
7;143075;4032;belegt;E
7;143075;4032;m.E.;E
7;143078;4032;m.E.;E
7;143079;4032;1,3;5
7;143086;4032;belegt;E
7;143086;4032;m.E.;E
7;143129;4032;1,3;5
7;143130;4032;m.E.;E
7;143063;4033;NT;5
7;143063;4033;1,3;5
8;143007;4010;2,3;5
8;143038;4010;m.E.;E
8;143011;4016;3,3;5
8;143042;4016;m.E.;E
8;143001;4017;4;5
8;143002;4017;2,3;5
8;143003;4017;3,3;5
8;143004;4017;3,3;5
8;143005;4017;3,3;5
8;143006;4017;3,3;5
8;143020;4017;2,3;5
8;143035;4017;m.E.;E
8;143036;4017;m.E.;E
8;143037;4017;m.E.;E
8;143051;4017;m.E.;E
8;143008;4018;NT;5
8;143009;4018;NT;5
8;143013;4018;2,3;5
8;143016;4018;NT;5
8;143017;4018;NT;5
8;143039;4018;belegt;E
8;143040;4018;belegt;E
8;143044;4018;m.E.;E
8;143047;4018;NT;5
8;143048;4018;2,3;5
8;143008;4019;3,3;5
8;143008;4019;5;5
8;143009;4019;4;5
8;143009;4019;NT;5
8;143010;4019;NT;5
