Student_id;Wechsel;Abbruch;Durchschnittsnote;EndNote
102;0;1;0.00;0.00
103;0;0;2.93;0.00
104;0;1;3.30;0.00
106;0;0;2.37;2.19
107;0;0;1.84;1.92
108;0;0;1.85;1.93
109;0;0;1.99;2.00
110;0;0;2.07;2.04
112;0;0;2.28;2.14
113;0;1;2.88;0.00
114;0;1;2.30;0.00
115;0;0;1.54;1.27
116;0;1;0.00;0.00
117;0;0;2.02;2.01
118;0;1;0.00;0.00
119;0;1;2.97;0.00
120;0;0;2.99;0.00
122;0;0;2.40;2.20
123;0;0;0.00;0.00
126;0;1;2.49;0.00
127;0;1;0.00;0.00
128;0;1;2.53;0.00
129;0;0;1.88;1.94
130;0;0;1.39;1.20
131;0;0;1.62;0.00
132;0;1;2.04;0.00
133;0;0;1.52;0.00
134;0;0;1.55;0.00
135;0;1;0.00;0.00
136;0;1;0.00;0.00
137;0;1;3.30;0.00
138;0;0;2.27;2.14
139;0;0;2.31;2.16
141;0;1;3.30;0.00
143;0;0;2.62;2.81
144;0;1;2.60;0.00
146;0;0;1.98;1.99
147;0;0;2.55;0.00
148;0;0;2.37;0.00
149;0;1;2.84;0.00
150;0;0;2.39;2.20
151;0;0;2.91;2.96
152;0;0;2.13;0.00
153;0;0;1.69;1.85
154;0;0;0.00;0.00
155;0;1;0.00;0.00
156;0;1;4.00;0.00
157;0;1;2.68;0.00
158;0;1;2.42;0.00
159;0;0;2.57;2.79
160;0;0;1.91;1.96
161;0;0;2.41;2.21
162;0;1;1.91;0.00
163;0;0;2.73;2.87
164;0;1;1.70;0.00
165;0;0;2.01;2.01
166;0;1;2.77;0.00
167;0;0;2.83;2.92
168;0;0;2.51;2.76
169;0;1;2.86;0.00
170;0;0;2.20;2.10
171;0;0;1.54;0.00
172;0;1;0.00;0.00
173;0;1;1.97;0.00
175;0;1;0.00;0.00
176;0;1;2.30;0.00
177;0;0;1.50;1.25
178;0;1;2.10;0.00
179;0;1;1.53;0.00
181;0;1;2.10;0.00
182;0;0;2.18;0.00
183;0;1;2.30;0.00
184;0;1;2.61;0.00
185;0;0;2.30;0.00
187;0;0;2.09;2.05
188;0;0;2.28;0.00
189;0;0;2.44;2.22
190;0;0;2.14;2.07
191;0;0;2.12;2.06
192;0;0;0.00;0.00
193;0;1;2.15;0.00
194;0;1;3.19;0.00
195;0;1;2.49;0.00
196;0;0;2.31;2.16
197;0;0;1.41;0.00
199;0;1;1.95;0.00
200;0;1;0.00;0.00
201;0;0;3.24;0.00
202;0;1;2.76;0.00
203;0;1;2.30;0.00
204;0;0;2.25;2.13
205;0;0;0.00;0.00
207;0;1;0.00;0.00
208;0;1;4.00;0.00
209;0;0;2.12;2.06
210;0;0;2.30;0.00
211;0;1;2.89;0.00
212;0;0;2.36;0.00
213;0;0;2.00;2.00
214;0;1;2.80;0.00
215;0;0;2.12;0.00
216;1;1;4.00;0.00
217;0;1;1.67;0.00
218;0;1;1.70;0.00
219;0;0;2.97;0.00
220;0;1;0.00;0.00
221;0;0;2.19;2.10
224;0;0;1.70;0.00
226;0;0;2.21;2.11
227;0;1;2.62;0.00
230;0;1;2.39;0.00
231;0;0;1.88;1.94
232;0;1;2.46;0.00
234;0;0;2.64;2.82
235;0;1;2.66;0.00
236;0;0;2.29;2.15
238;0;0;2.69;2.85
239;0;1;3.30;0.00
241;0;1;2.15;0.00
242;0;0;2.36;0.00
243;0;1;0.00;0.00
244;0;1;2.13;0.00
246;0;1;0.00;0.00
247;0;0;2.90;0.00
248;0;0;2.64;0.00
249;0;0;3.30;0.00
250;0;1;2.40;0.00
251;0;0;1.85;1.93
252;0;0;2.30;0.00
253;0;0;2.10;2.05
254;0;1;2.99;0.00
256;0;1;2.97;0.00
257;0;0;2.57;2.79
259;0;0;1.78;1.89
261;0;1;2.80;0.00
262;0;1;2.45;0.00
263;0;1;2.83;0.00
264;0;0;2.23;0.00
265;0;0;1.49;0.00
266;1;0;2.32;2.16
267;0;0;1.90;0.00
268;0;0;0.00;0.00
269;0;0;1.91;1.96
270;0;1;0.00;0.00
